xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc

4140.00000000,9350.00000000,2592.50000000,0.51,6.0,45,0.029,0.031,
4080.00000000,9390.00000000,2592.50000000,0.53,8.0,45,0.046,0.0098,
4100.00000000,9370.00000000,2592.50000000,0.30,6.0,44,0.020,0.0082,
4120.00000000,9370.00000000,2592.50000000,0.43,6.0,44,0.030,0.013,
4100.00000000,9390.00000000,2592.50000000,0.32,6.0,44,0.026,0.012,
4120.00000000,9390.00000000,2592.50000000,0.36,6.0,44,0.037,0.0072,
4140.00000000,9370.00000000,2592.50000000,0.46,6.0,45,0.031,0.014,
4160.00000000,9370.00000000,2592.50000000,1.0,8.0,43,0.15,0.052,
4140.00000000,9390.00000000,2592.50000000,0.43,6.0,44,0.025,0.0045,
4160.00000000,9390.00000000,2592.50000000,1.0,8.0,45,0.11,0.019,
4060.00000000,9410.00000000,2592.50000000,1.1,8.0,45,0.089,0.018,
4080.00000000,9410.00000000,2592.50000000,0.55,8.0,45,0.051,0.017,
4060.00000000,9430.00000000,2592.50000000,0.86,8.0,45,0.074,0.011,
4080.00000000,9430.00000000,2592.50000000,0.76,8.0,45,0.070,0.025,
4100.00000000,9410.00000000,2592.50000000,0.29,7.0,41,0.033,0.024,
4120.00000000,9410.00000000,2592.50000000,0.45,6.0,43,0.078,0.016,
4100.00000000,9430.00000000,2592.50000000,0.63,8.0,43,0.086,0.024,
4120.00000000,9430.00000000,2592.50000000,0.47,8.0,43,0.061,0.0085,
4140.00000000,9410.00000000,2592.50000000,0.40,6.0,44,0.029,0.0084,
4140.00000000,9430.00000000,2592.50000000,0.43,7.0,44,0.030,0.010,
3980.00000000,9470.00000000,2577.50000000,0.96,45,0.096,0.037,
4000.00000000,9470.00000000,2577.50000000,0.78,45,0.083,0.031,
4000.00000000,9450.00000000,2592.50000000,1.3,45,0.16,0.033,
3980.00000000,9470.00000000,2592.50000000,1.1,45,0.10,0.036,
4000.00000000,9470.00000000,2592.50000000,0.72,45,0.082,0.029,
4020.00000000,9470.00000000,2577.50000000,1.3,45,0.11,0.046,
4020.00000000,9470.00000000,2592.50000000,1.0,45,0.11,0.036,
4040.00000000,9470.00000000,2592.50000000,1.1,8.0,45,0.085,0.017,
4060.00000000,9450.00000000,2592.50000000,0.79,8.0,45,0.075,0.020,
4080.00000000,9450.00000000,2592.50000000,0.61,6.0,45,0.051,0.018,
4060.00000000,9470.00000000,2592.50000000,0.86,8.0,45,0.083,0.021,
4080.00000000,9470.00000000,2592.50000000,1.0,8.0,45,0.090,0.032,
4100.00000000,9450.00000000,2592.50000000,0.83,2.0,45,0.086,0.017,
4120.00000000,9450.00000000,2592.50000000,0.64,7.0,45,0.072,0.0078,
4100.00000000,9470.00000000,2592.50000000,0.50,6.0,45,0.037,0.017,
4120.00000000,9470.00000000,2592.50000000,0.60,6.0,45,0.032,0.010,
4140.00000000,9450.00000000,2592.50000000,0.53,7.0,45,0.043,0.0092,
3960.00000000,9490.00000000,2592.50000000,1.6,45,0.10,0.047,
3960.00000000,9510.00000000,2592.50000000,1.7,45,0.11,0.029,
3980.00000000,9490.00000000,2577.50000000,1.5,45,0.10,0.039,
4000.00000000,9490.00000000,2577.50000000,1.3,45,0.082,0.063,
3980.00000000,9510.00000000,2577.50000000,0.91,45,0.076,0.022,
4000.00000000,9510.00000000,2577.50000000,1.1,45,0.077,0.048,
3980.00000000,9490.00000000,2592.50000000,1.4,45,0.12,0.050,
4000.00000000,9490.00000000,2592.50000000,0.94,45,0.094,0.039,
3980.00000000,9510.00000000,2592.50000000,1.4,45,0.12,0.025,
4000.00000000,9510.00000000,2592.50000000,0.97,45,0.097,0.061,
4020.00000000,9490.00000000,2577.50000000,1.2,45,0.13,0.042,
4040.00000000,9490.00000000,2577.50000000,0.94,45,0.097,0.014,
4020.00000000,9510.00000000,2577.50000000,1.0,45,0.089,0.028,
4040.00000000,9510.00000000,2577.50000000,1.4,45,0.100,0.032,
4020.00000000,9490.00000000,2592.50000000,0.79,45,0.093,0.029,
4040.00000000,9490.00000000,2592.50000000,1.1,8.0,45,0.083,0.020,
4020.00000000,9510.00000000,2592.50000000,0.93,45,0.10,0.024,
4040.00000000,9510.00000000,2592.50000000,0.89,45,0.080,0.019,
4060.00000000,9510.00000000,2577.50000000,0.52,45,0.048,0.0092,
4060.00000000,9490.00000000,2592.50000000,1.0,6.0,45,0.092,0.019,
4060.00000000,9510.00000000,2592.50000000,0.51,45,0.046,0.0098,
4080.00000000,9510.00000000,2592.50000000,0.62,8.0,33,0.045,0.011,
3920.00000000,9550.00000000,2592.50000000,0.92,42,0.056,0.036,
3960.00000000,9530.00000000,2577.50000000,1.2,45,0.097,0.028,
3940.00000000,9550.00000000,2577.50000000,1.1,42,0.092,0.031,
3960.00000000,9550.00000000,2577.50000000,1.00,45,0.078,0.014,
3940.00000000,9530.00000000,2592.50000000,1.1,45,0.079,0.020,
3960.00000000,9530.00000000,2592.50000000,1.2,45,0.085,0.011,
3940.00000000,9550.00000000,2592.50000000,1.00,42,0.070,0.038,
3960.00000000,9550.00000000,2592.50000000,0.88,45,0.065,0.011,
3980.00000000,9530.00000000,2577.50000000,1.2,45,0.085,0.038,
4000.00000000,9530.00000000,2577.50000000,1.0,45,0.095,0.091,
3980.00000000,9550.00000000,2577.50000000,1.1,45,0.085,0.011,
4000.00000000,9550.00000000,2577.50000000,1.1,45,0.099,0.024,
3980.00000000,9530.00000000,2592.50000000,1.5,45,0.11,0.021,
4000.00000000,9530.00000000,2592.50000000,1.3,45,0.094,0.035,
3980.00000000,9550.00000000,2592.50000000,1.1,45,0.075,0.018,
4000.00000000,9550.00000000,2592.50000000,1.3,45,0.094,0.013,
4020.00000000,9530.00000000,2577.50000000,1.3,45,0.099,0.039,
4040.00000000,9530.00000000,2577.50000000,1.0,45,0.083,0.030,
4020.00000000,9550.00000000,2577.50000000,1.0,45,0.086,0.030,
4020.00000000,9530.00000000,2592.50000000,1.1,45,0.076,0.036,
4040.00000000,9530.00000000,2592.50000000,0.81,45,0.080,0.043,
4020.00000000,9550.00000000,2592.50000000,1.3,45,0.10,0.12,
4040.00000000,9550.00000000,2592.50000000,0.97,45,0.066,0.035,
4060.00000000,9530.00000000,2577.50000000,0.35,44,0.026,0.0063,
4060.00000000,9530.00000000,2592.50000000,0.58,45,0.048,0.013,
4080.00000000,9530.00000000,2592.50000000,0.72,33,0.052,0.0081,
4060.00000000,9550.00000000,2592.50000000,0.60,45,0.040,0.0068,
4080.00000000,9550.00000000,2592.50000000,0.42,44,0.025,0.0018,
3920.00000000,9570.00000000,2592.50000000,0.83,42,0.055,0.093,
3920.00000000,9590.00000000,2592.50000000,0.39,44,0.035,0.010,
3940.00000000,9570.00000000,2577.50000000,1.0,42,0.093,0.035,
3960.00000000,9570.00000000,2577.50000000,0.84,45,0.076,0.0098,
3940.00000000,9590.00000000,2577.50000000,0.83,42,0.070,0.025,
3960.00000000,9590.00000000,2577.50000000,1.0,42,0.073,0.023,
3940.00000000,9570.00000000,2592.50000000,0.98,42,0.073,0.030,
3960.00000000,9570.00000000,2592.50000000,0.89,45,0.064,0.011,
3940.00000000,9590.00000000,2592.50000000,0.75,42,0.045,0.017,
3960.00000000,9590.00000000,2592.50000000,0.90,42,0.052,0.011,
3980.00000000,9570.00000000,2577.50000000,1.0,45,0.076,0.0093,
4000.00000000,9570.00000000,2577.50000000,1.1,45,0.097,0.010,
3980.00000000,9590.00000000,2577.50000000,0.47,45,0.040,0.0059,
4000.00000000,9590.00000000,2577.50000000,0.75,45,0.081,0.0090,
3980.00000000,9570.00000000,2592.50000000,0.95,45,0.079,0.0084,
4000.00000000,9570.00000000,2592.50000000,1.1,45,0.11,0.010,
3980.00000000,9590.00000000,2592.50000000,0.51,45,0.041,0.0079,
4000.00000000,9590.00000000,2592.50000000,0.85,45,0.073,0.018,
4020.00000000,9570.00000000,2577.50000000,1.3,45,0.13,0.012,
4020.00000000,9570.00000000,2592.50000000,1.2,45,0.094,0.046,
4040.00000000,9570.00000000,2592.50000000,0.75,45,0.052,0.025,
4020.00000000,9590.00000000,2592.50000000,1.3,45,0.096,0.13,
4040.00000000,9590.00000000,2592.50000000,0.58,45,0.038,0.027,
4060.00000000,9570.00000000,2592.50000000,0.64,45,0.037,0.0037,
4080.00000000,9570.00000000,2592.50000000,0.69,45,0.048,0.0021,
4060.00000000,9590.00000000,2592.50000000,0.63,45,0.038,0.0049,
3940.00000000,9610.00000000,2577.50000000,0.83,42,0.077,0.082,
3960.00000000,9610.00000000,2577.50000000,0.93,42,0.076,0.029,
3960.00000000,9630.00000000,2577.50000000,0.58,42,0.064,0.069,
3940.00000000,9610.00000000,2592.50000000,0.87,42,0.058,0.018,
3960.00000000,9610.00000000,2592.50000000,0.94,42,0.072,0.025,
3960.00000000,9630.00000000,2592.50000000,0.76,42,0.047,0.035,
3980.00000000,9610.00000000,2577.50000000,0.60,45,0.054,0.013,
4000.00000000,9610.00000000,2577.50000000,0.59,45,0.058,0.0064,
3980.00000000,9630.00000000,2577.50000000,0.57,45,0.050,0.019,
