xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4140,9350,2592.5,0.513607,6,45,0.029011,0.030917,
4080,9390,2592.5,0.527897,8,45,0.046179,0.009824,
4100,9370,2592.5,0.302679,6,44,0.019605,0.008151,
4120,9370,2592.5,0.427453,6,44,0.02971,0.01277,
4100,9390,2592.5,0.319234,6,44,0.026187,0.011747,
4120,9390,2592.5,0.36477,6,44,0.037347,0.007216,
4140,9370,2592.5,0.459638,6,45,0.031076,0.013685,
4160,9370,2592.5,1.00161,8,43,0.145528,0.051645,
4140,9390,2592.5,0.428427,6,44,0.024714,0.004511,
4160,9390,2592.5,1.01918,8,45,0.11276,0.019379,
4060,9410,2592.5,1.08435,8,45,0.089092,0.018176,
4080,9410,2592.5,0.554033,8,45,0.050583,0.01651,
4060,9430,2592.5,0.857659,8,45,0.073889,0.011091,
4080,9430,2592.5,0.763212,8,45,0.069705,0.025122,
4100,9410,2592.5,0.28681,7,41,0.032741,0.023756,
4120,9410,2592.5,0.450416,6,43,0.077519,0.015692,
4100,9430,2592.5,0.63416,8,43,0.086419,0.023809,
4120,9430,2592.5,0.465967,8,43,0.060741,0.008486,
4140,9410,2592.5,0.400368,6,44,0.028696,0.008442,
4140,9430,2592.5,0.425146,7,44,0.02966,0.010175,
3980,9470,2577.5,0.961612,-99,45,0.09606,0.037097,
4000,9470,2577.5,0.779548,-99,45,0.083062,0.030536,
4000,9450,2592.5,1.33183,-99,45,0.155986,0.032579,
3980,9470,2592.5,1.10672,-99,45,0.10382,0.035719,
4000,9470,2592.5,0.719351,-99,45,0.081989,0.028763,
4020,9470,2577.5,1.28551,-99,45,0.110087,0.045664,
4020,9470,2592.5,1.02119,-99,45,0.105126,0.035585,
4040,9470,2592.5,1.13106,8,45,0.084809,0.017125,
4060,9450,2592.5,0.793328,8,45,0.074778,0.019713,
4080,9450,2592.5,0.606189,6,45,0.050665,0.018477,
4060,9470,2592.5,0.856514,8,45,0.082619,0.020971,
4080,9470,2592.5,1.03611,8,45,0.089868,0.032486,
4100,9450,2592.5,0.831614,2,45,0.086073,0.016992,
4120,9450,2592.5,0.63573,7,45,0.072001,0.007751,
4100,9470,2592.5,0.498596,6,45,0.037313,0.017485,
4120,9470,2592.5,0.599405,6,45,0.032265,0.010291,
4140,9450,2592.5,0.526008,7,45,0.043347,0.009152,
3960,9490,2592.5,1.57238,-99,45,0.100308,0.047381,
3960,9510,2592.5,1.67586,-99,45,0.105861,0.029158,
3980,9490,2577.5,1.48166,-99,45,0.104695,0.03895,
4000,9490,2577.5,1.28594,-99,45,0.082442,0.062835,
3980,9510,2577.5,0.911979,-99,45,0.075652,0.022287,
4000,9510,2577.5,1.13429,-99,45,0.077309,0.047973,
3980,9490,2592.5,1.38956,-99,45,0.117733,0.050231,
4000,9490,2592.5,0.940246,-99,45,0.093751,0.039352,
3980,9510,2592.5,1.40604,-99,45,0.124622,0.024504,
4000,9510,2592.5,0.971698,-99,45,0.097259,0.061019,
4020,9490,2577.5,1.23203,-99,45,0.131944,0.04204,
4040,9490,2577.5,0.936996,-99,45,0.097144,0.014453,
4020,9510,2577.5,1.04412,-99,45,0.088725,0.028386,
4040,9510,2577.5,1.41279,-99,45,0.09982,0.031877,
4020,9490,2592.5,0.794098,-99,45,0.092861,0.028957,
4040,9490,2592.5,1.11689,8,45,0.082747,0.019861,
4020,9510,2592.5,0.934161,-99,45,0.101828,0.023884,
