xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4140.00000000,9350.00000000,2592.50000000,0.51360700,6,45,0.02901100,0.03091700
4080.00000000,9390.00000000,2592.50000000,0.52789700,8,45,0.04617900,0.00982400
4100.00000000,9370.00000000,2592.50000000,0.30267900,6,44,0.01960500,0.00815100
4120.00000000,9370.00000000,2592.50000000,0.42745300,6,44,0.02971000,0.01277000
4100.00000000,9390.00000000,2592.50000000,0.31923400,6,44,0.02618700,0.01174700
4120.00000000,9390.00000000,2592.50000000,0.36477000,6,44,0.03734700,0.00721600
4140.00000000,9370.00000000,2592.50000000,0.45963800,6,45,0.03107600,0.01368500
4160.00000000,9370.00000000,2592.50000000,1.00161500,8,43,0.14552800,0.05164500
4140.00000000,9390.00000000,2592.50000000,0.42842700,6,44,0.02471400,0.00451100
4160.00000000,9390.00000000,2592.50000000,1.01918000,8,45,0.11276000,0.01937900
4060.00000000,9410.00000000,2592.50000000,1.08434600,8,45,0.08909200,0.01817600
4080.00000000,9410.00000000,2592.50000000,0.55403300,8,45,0.05058300,0.01651000
4060.00000000,9430.00000000,2592.50000000,0.85765900,8,45,0.07388900,0.01109100
4080.00000000,9430.00000000,2592.50000000,0.76321200,8,45,0.06970500,0.02512200
4100.00000000,9410.00000000,2592.50000000,0.28681000,7,41,0.03274100,0.02375600
4120.00000000,9410.00000000,2592.50000000,0.45041600,6,43,0.07751900,0.01569200
4100.00000000,9430.00000000,2592.50000000,0.63416000,8,43,0.08641900,0.02380900
4120.00000000,9430.00000000,2592.50000000,0.46596700,8,43,0.06074100,0.00848600
4140.00000000,9410.00000000,2592.50000000,0.40036800,6,44,0.02869600,0.00844200
4140.00000000,9430.00000000,2592.50000000,0.42514600,7,44,0.02966000,0.01017500
3980.00000000,9470.00000000,2577.50000000,0.96161200,-99,45,0.09606000,0.03709700
4000.00000000,9470.00000000,2577.50000000,0.77954800,-99,45,0.08306200,0.03053600
4000.00000000,9450.00000000,2592.50000000,1.33182800,-99,45,0.15598600,0.03257900
3980.00000000,9470.00000000,2592.50000000,1.10672500,-99,45,0.10382000,0.03571900
4000.00000000,9470.00000000,2592.50000000,0.71935100,-99,45,0.08198900,0.02876300
4020.00000000,9470.00000000,2577.50000000,1.28550600,-99,45,0.11008700,0.04566400
4020.00000000,9470.00000000,2592.50000000,1.02118900,-99,45,0.10512600,0.03558500
4040.00000000,9470.00000000,2592.50000000,1.13106500,8,45,0.08480900,0.01712500
4060.00000000,9450.00000000,2592.50000000,0.79332800,8,45,0.07477800,0.01971300
4080.00000000,9450.00000000,2592.50000000,0.60618900,6,45,0.05066500,0.01847700
4060.00000000,9470.00000000,2592.50000000,0.85651400,8,45,0.08261900,0.02097100
4080.00000000,9470.00000000,2592.50000000,1.03611400,8,45,0.08986800,0.03248600
4100.00000000,9450.00000000,2592.50000000,0.83161400,2,45,0.08607300,0.01699200
4120.00000000,9450.00000000,2592.50000000,0.63573000,7,45,0.07200100,0.00775100
4100.00000000,9470.00000000,2592.50000000,0.49859600,6,45,0.03731300,0.01748500
4120.00000000,9470.00000000,2592.50000000,0.59940500,6,45,0.03226500,0.01029100
4140.00000000,9450.00000000,2592.50000000,0.52600800,7,45,0.04334700,0.00915200
3960.00000000,9490.00000000,2592.50000000,1.57237600,-99,45,0.10030800,0.04738100
3960.00000000,9510.00000000,2592.50000000,1.67586300,-99,45,0.10586100,0.02915800
3980.00000000,9490.00000000,2577.50000000,1.48166000,-99,45,0.10469500,0.03895000
4000.00000000,9490.00000000,2577.50000000,1.28593500,-99,45,0.08244200,0.06283500
3980.00000000,9510.00000000,2577.50000000,0.91197900,-99,45,0.07565200,0.02228700
4000.00000000,9510.00000000,2577.50000000,1.13429200,-99,45,0.07730900,0.04797300
3980.00000000,9490.00000000,2592.50000000,1.38955500,-99,45,0.11773300,0.05023100
4000.00000000,9490.00000000,2592.50000000,0.94024600,-99,45,0.09375100,0.03935200
3980.00000000,9510.00000000,2592.50000000,1.40603700,-99,45,0.12462200,0.02450400
4000.00000000,9510.00000000,2592.50000000,0.97169800,-99,45,0.09725900,0.06101900
4020.00000000,9490.00000000,2577.50000000,1.23202700,-99,45,0.13194400,0.04204000
4040.00000000,9490.00000000,2577.50000000,0.93699600,-99,45,0.09714400,0.01445300
4020.00000000,9510.00000000,2577.50000000,1.04412500,-99,45,0.08872500,0.02838600
4040.00000000,9510.00000000,2577.50000000,1.41279200,-99,45,0.09982000,0.03187700
4020.00000000,9490.00000000,2592.50000000,0.79409800,-99,45,0.09286100,0.02895700
4040.00000000,9490.00000000,2592.50000000,1.11688600,8,45,0.08274700,0.01986100
4020.00000000,9510.00000000,2592.50000000,0.93416100,-99,45,0.10182800,0.02388400
4040.00000000,9510.00000000,2592.50000000,0.89429500,-99,45,0.08003900,0.01900800
4060.00000000,9510.00000000,2577.50000000,0.52032100,-99,45,0.04826000,0.00923300
4060.00000000,9490.00000000,2592.50000000,1.02901100,6,45,0.09163400,0.01876700
4060.00000000,9510.00000000,2592.50000000,0.51434800,-99,45,0.04637800,0.00978800
4080.00000000,9510.00000000,2592.50000000,0.61548800,8,33,0.04537300,0.01148200
3920.00000000,9550.00000000,2592.50000000,0.92260600,-99,42,0.05595400,0.03567300
3960.00000000,9530.00000000,2577.50000000,1.20093400,-99,45,0.09737500,0.02764400
3940.00000000,9550.00000000,2577.50000000,1.12494600,-99,42,0.09184400,0.03083900
3960.00000000,9550.00000000,2577.50000000,0.99798500,-99,45,0.07768700,0.01378500
3940.00000000,9530.00000000,2592.50000000,1.07779800,-99,45,0.07887400,0.01983700
3960.00000000,9530.00000000,2592.50000000,1.17761900,-99,45,0.08505700,0.01056000
3940.00000000,9550.00000000,2592.50000000,0.99532700,-99,42,0.06952900,0.03788200
3960.00000000,9550.00000000,2592.50000000,0.87911800,-99,45,0.06470800,0.01123300
3980.00000000,9530.00000000,2577.50000000,1.17010500,-99,45,0.08456400,0.03843100
4000.00000000,9530.00000000,2577.50000000,1.00441100,-99,45,0.09536700,0.09061700
3980.00000000,9550.00000000,2577.50000000,1.14867300,-99,45,0.08476300,0.01093100
4000.00000000,9550.00000000,2577.50000000,1.06921400,-99,45,0.09861600,0.02412300
3980.00000000,9530.00000000,2592.50000000,1.47438900,-99,45,0.10930600,0.02089900
4000.00000000,9530.00000000,2592.50000000,1.25913300,-99,45,0.09354800,0.03528500
3980.00000000,9550.00000000,2592.50000000,1.08368400,-99,45,0.07451900,0.01763200
4000.00000000,9550.00000000,2592.50000000,1.29973100,-99,45,0.09364900,0.01290900
4020.00000000,9530.00000000,2577.50000000,1.27156000,-99,45,0.09879000,0.03889200
4040.00000000,9530.00000000,2577.50000000,1.02424700,-99,45,0.08325900,0.03038800
4020.00000000,9550.00000000,2577.50000000,1.02292400,-99,45,0.08568400,0.03006300
4020.00000000,9530.00000000,2592.50000000,1.10492900,-99,45,0.07550300,0.03553900
4040.00000000,9530.00000000,2592.50000000,0.80853000,-99,45,0.07997000,0.04339500
