xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot,zmint,oretypet,dens,CAT,CATN,FASE
4140,9350,2592.5,1.098125,8,45,dic-15,0.104375,0.0169,SSF,SCHAL,2.6,MED,1,19
4080,9390,2592.5,0.52,7,42,dic-15,0.03,0.0017,SSD,SAARC,2.6,MED,1,34
4100,9370,2592.5,0.42708333,7,42,dic-15,0.03416667,0.0025,SSD,SAARC,2.6,IND,2,19N
4120,9370,2592.5,0.48270833,61,42,dic-15,0.028125,0.0086,CPY,SAARC,2.6,MED,1,19
4100,9390,2592.5,0.48,61,42,dic-15,0.02875,0.0019,CPY,SAARC,2.6,MED,1,42
4120,9390,2592.5,0.45,61,42,dic-15,0.02,0.0085,CPY,SAARC,2.6,MED,1,19
4140,9370,2592.5,0.87,8,45,dic-15,0.06,0.0145,SSF,SCHAL,2.6,IND,2,19N
4160,9370,2592.5,1.0875,8,45,dic-15,0.12041667,0.0183,SSF,SCHAL,2.6,MED,1,19
4140,9390,2592.5,0.56625,61,45,dic-15,0.035,0.0137,CPY,SCHAL,2.6,MED,1,34
4160,9390,2592.5,0.77875,8,45,dic-15,0.075,0.0157,SSF,SCHAL,2.6,MED,1,19
4060,9410,2592.5,1.45791667,8,45,dic-15,0.13541667,0.0182,SSF,SCHAL,2.6,MED,1,34
4080,9410,2592.5,0.78729167,7,45,dic-15,0.07541667,0.0017,SSD,SCHAL,2.6,MED,1,34
4060,9430,2592.5,1.4,8,45,dic-15,0.13,0.0162,SSF,SCHAL,2.6,INF,3,19N
4080,9430,2592.5,0.87166667,8,45,dic-15,0.08166667,0.0019,SSF,SCHAL,2.6,MED,1,34
4100,9410,2592.5,0.54,61,45,dic-15,0.033125,0.0019,CPY,SCHAL,2.6,IND,2,19N
4120,9410,2592.5,0.57,61,45,dic-15,0.02,0.0099,CPY,SCHAL,2.6,MED,1,19
4100,9430,2592.5,0.555,7,45,dic-15,0.03166667,0.0022,SSD,SCHAL,2.6,MED,1,42
4120,9430,2592.5,0.56,61,45,dic-15,0.02,0.0063,CPY,SCHAL,2.6,MED,1,42
4140,9410,2592.5,0.4375,61,44,dic-15,0.02,0.0131,CPY,SCHBL,2.6,MED,1,34
4140,9430,2592.5,0.47625,61,45,dic-15,0.02020833,0.0128,CPY,SCHAL,2.6,MED,1,19
3980,9470,2577.5,1.3,8,45,oct-14,0.08,0.0546,SSF,SCHAL,2.6,MED,1,42
4000,9470,2577.5,1.38,8,45,oct-14,0.1,0.056,SSF,SCHAL,2.6,MED,1,42
4000,9450,2592.5,1.26,8,45,sept-14,0.09,0.0426,SSF,SCHAL,2.6,IND,2,19N
3980,9470,2592.5,1.31,8,45,sept-14,0.09,0.0796,SSF,SCHAL,2.6,MED,1,19
4000,9470,2592.5,1.24,8,45,sept-14,0.09,0.0435,SSF,SCHAL,2.6,MED,1,19
