xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4060,9350,2592.500000,0.513607,6,45,0.029011,309,
4080,9390,2592.500000,0.527897,8,45,0.046179,98,
4100,9370,2592.500000,0.302679,6,44,0.019605,81,
4120,9370,2592.500000,0.427453,6,44,0.029710,127,
4100,9390,2592.500000,0.319234,6,44,0.026187,117,
4120,9390,2592.500000,0.364770,6,44,0.037347,72,
4140,9370,2592.500000,0.459638,6,45,0.031076,136,
4160,9370,2592.500000,1.001615,8,43,0.145528,516,
4140,9390,2592.500000,0.428427,6,44,0.024714,45,
4160,9390,2592.500000,1.019180,8,45,0.112760,193,
4060,9410,2592.500000,1.084346,8,45,0.089092,181,
4080,9410,2592.500000,0.554033,8,45,0.050583,165,
4060,9430,2592.500000,0.857659,8,45,0.073889,110,
4080,9430,2592.500000,0.763212,8,45,0.069705,251,
4100,9410,2592.500000,0.286810,7,41,0.032741,237,
4120,9410,2592.500000,0.450416,6,43,0.077519,156,
4100,9430,2592.500000,0.634160,8,43,0.086419,238,
4120,9430,2592.500000,0.465967,8,43,0.060741,84,
4140,9410,2592.500000,0.400368,6,44,0.028696,84,
4140,9430,2592.500000,0.425146,7,44,0.029660,101,
3980,9470,2577.500000,0.961612,-99,45,0.096060,370,
4000,9470,2577.500000,0.779548,-99,45,0.083062,305,
4000,9450,2592.500000,1.331828,-99,45,0.155986,325,
3980,9470,2592.500000,1.106725,-99,45,0.103820,357,
4000,9470,2592.500000,0.719351,-99,45,0.081989,287,
4020,9470,2577.500000,1.285506,-99,45,0.110087,456,
4020,9470,2592.500000,1.021189,-99,45,0.105126,355,
4040,9470,2592.500000,1.131065,8,45,0.084809,171,
4060,9450,2592.500000,0.793328,8,45,0.074778,197,
4080,9450,2592.500000,0.606189,6,45,0.050665,184,
4060,9470,2592.500000,0.856514,8,45,0.082619,209,
4080,9470,2592.500000,1.036114,8,45,0.089868,324,
4100,9450,2592.500000,0.831614,2,45,0.086073,169,
4120,9450,2592.500000,0.635730,7,45,0.072001,77,
4100,9470,2592.500000,0.498596,6,45,0.037313,174,
4120,9470,2592.500000,0.599405,6,45,0.032265,102,
4140,9450,2592.500000,0.526008,7,45,0.043347,91,
3960,9490,2592.500000,1.572376,-99,45,0.100308,473,
3960,9510,2592.500000,1.675863,-99,45,0.105861,291,
3980,9490,2577.500000,1.481660,-99,45,0.104695,389,
4000,9490,2577.500000,1.285935,-99,45,0.082442,628,
3980,9510,2577.500000,0.911979,-99,45,0.075652,222,
4000,9510,2577.500000,1.134292,-99,45,0.077309,479,
3980,9490,2592.500000,1.389555,-99,45,0.117733,502,
4000,9490,2592.500000,0.940246,-99,45,0.093751,393,
3980,9510,2592.500000,1.406037,-99,45,0.124622,245,
4000,9510,2592.500000,0.971698,-99,45,0.097259,610,
4020,9490,2577.500000,1.232027,-99,45,0.131944,420,
4040,9490,2577.500000,0.936996,-99,45,0.097144,144,
4020,9510,2577.500000,1.044125,-99,45,0.088725,283,
4040,9510,2577.500000,1.412792,-99,45,0.099820,318,
4020,9490,2592.500000,0.794098,-99,45,0.092861,289,
4040,9490,2592.500000,1.116886,8,45,0.082747,198,
4020,9510,2592.500000,0.934161,-99,45,0.101828,238,
4040,9510,2592.500000,0.894295,-99,45,0.080039,190,
4060,9510,2577.500000,0.520321,-99,45,0.048260,92,
4060,9490,2592.500000,1.029011,6,45,0.091634,187,
4060,9510,2592.500000,0.514348,-99,45,0.046378,97,
4080,9510,2592.500000,0.615488,8,33,0.045373,114,
3920,9550,2592.500000,0.922606,-99,42,0.055954,356,
