xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4140,9350,2592.500000,309,6,oretypet,5,0.513607,2.600000,0.029011,SCHAL,
4080,9390,2592.500000,98,8,SSF,45,0.527897,2.600000,0.046179,SCHAL,
4100,9370,2592.500000,81,6,SCHAL,4,0.302679,2.600000,0.019605,SCHBL,
4120,9370,2592.500000,127,6,SCHBL,4,0.427453,2.600000,0.029710,SCHBL,
4100,9390,2592.500000,117,6,SCHBL,4,0.319234,2.600000,0.026187,SCHBL,
4120,9390,2592.500000,72,6,SCHBL,4,0.364770,2.600000,0.037347,SCHBL,
4140,9370,2592.500000,136,6,SCHBL,5,0.459638,2.600000,0.031076,SCHAL,
4160,9370,2592.500000,516,8,SSF,43,1.001615,2.600000,0.145528,SASOL,
4140,9390,2592.500000,45,6,SASOL,4,0.428427,2.600000,0.024714,SCHBL,
4160,9390,2592.500000,193,8,SSF,45,1.019180,2.600000,0.112760,SCHAL,
4060,9410,2592.500000,181,8,SSF,45,1.084346,2.600000,0.089092,SCHAL,
4080,9410,2592.500000,165,8,SSF,45,0.554033,2.600000,0.050583,SCHAL,
4060,9430,2592.500000,110,8,SSF,45,0.857659,2.600000,0.073889,SCHAL,
4080,9430,2592.500000,251,8,SSF,45,0.763212,2.600000,0.069705,SCHAL,
4100,9410,2592.500000,237,7,SSD,41,0.286810,2.600000,0.032741,SBL,
4120,9410,2592.500000,156,6,SBL,3,0.450416,2.600000,0.077519,SASOL,
4100,9430,2592.500000,238,8,SSF,43,0.634160,2.600000,0.086419,SASOL,
4120,9430,2592.500000,84,8,SSF,43,0.465967,2.600000,0.060741,SASOL,
4140,9410,2592.500000,84,6,SASOL,4,0.400368,2.600000,0.028696,SCHBL,
4140,9430,2592.500000,101,7,SSD,44,0.425146,2.600000,0.029660,SCHBL,
3980,9470,2577.500000,370,-99,NULL,45,0.961612,2.600000,0.096060,SCHAL,
4000,9470,2577.500000,305,-99,NULL,45,0.779548,2.600000,0.083062,SCHAL,
4000,9450,2592.500000,325,-99,NULL,45,1.331828,2.600000,0.155986,SCHAL,
3980,9470,2592.500000,357,-99,NULL,45,1.106725,2.600000,0.103820,SCHAL,
4000,9470,2592.500000,287,-99,NULL,45,0.719351,2.600000,0.081989,SCHAL,
4020,9470,2577.500000,456,-99,NULL,45,1.285506,2.600000,0.110087,SCHAL,
4020,9470,2592.500000,355,-99,NULL,45,1.021189,2.600000,0.105126,SCHAL,
4040,9470,2592.500000,171,8,SSF,45,1.131065,2.600000,0.084809,SCHAL,
4060,9450,2592.500000,197,8,SSF,45,0.793328,2.600000,0.074778,SCHAL,
4080,9450,2592.500000,184,6,SCHAL,5,0.606189,2.600000,0.050665,SCHAL,
4060,9470,2592.500000,209,8,SSF,45,0.856514,2.600000,0.082619,SCHAL,
4080,9470,2592.500000,324,8,SSF,45,1.036114,2.600000,0.089868,SCHAL,
4100,9450,2592.500000,169,2,MIX,45,0.831614,2.600000,0.086073,SCHAL,
4120,9450,2592.500000,77,7,SSD,45,0.635730,2.600000,0.072001,SCHAL,
4100,9470,2592.500000,174,6,SCHAL,5,0.498596,2.600000,0.037313,SCHAL,
4120,9470,2592.500000,102,6,SCHAL,5,0.599405,2.600000,0.032265,SCHAL,
4140,9450,2592.500000,91,7,SSD,45,0.526008,2.600000,0.043347,SCHAL,
3960,9490,2592.500000,473,-99,NULL,45,1.572376,2.600000,0.100308,SCHAL,
3960,9510,2592.500000,291,-99,NULL,45,1.675863,2.600000,0.105861,SCHAL,
3980,9490,2577.500000,389,-99,NULL,45,1.481660,2.600000,0.104695,SCHAL,
4000,9490,2577.500000,628,-99,NULL,45,1.285935,2.600000,0.082442,SCHAL,
3980,9510,2577.500000,222,-99,NULL,45,0.911979,2.600000,0.075652,SCHAL,
4000,9510,2577.500000,479,-99,NULL,45,1.134292,2.600000,0.077309,SCHAL,
3980,9490,2592.500000,502,-99,NULL,45,1.389555,2.600000,0.117733,SCHAL,
4000,9490,2592.500000,393,-99,NULL,45,0.940246,2.600000,0.093751,SCHAL,
3980,9510,2592.500000,245,-99,NULL,45,1.406037,2.600000,0.124622,SCHAL,
4000,9510,2592.500000,610,-99,NULL,45,0.971698,2.600000,0.097259,SCHAL,
4020,9490,2577.500000,420,-99,NULL,45,1.232027,2.600000,0.131944,SCHAL,
4040,9490,2577.500000,144,-99,NULL,45,0.936996,2.600000,0.097144,SCHAL,
4020,9510,2577.500000,283,-99,NULL,45,1.044125,2.600000,0.088725,SCHAL,
4040,9510,2577.500000,318,-99,NULL,45,1.412792,2.600000,0.099820,SCHAL,
4020,9490,2592.500000,289,-99,NULL,45,0.794098,2.600000,0.092861,SCHAL,
4040,9490,2592.500000,198,8,SSF,45,1.116886,2.600000,0.082747,SCHAL,
4020,9510,2592.500000,238,-99,NULL,45,0.934161,2.600000,0.101828,SCHAL,
4040,9510,2592.500000,190,-99,NULL,45,0.894295,2.600000,0.080039,SCHAL,
4060,9510,2577.500000,92,-99,NULL,45,0.520321,2.600000,0.048260,SCHAL,
4060,9490,2592.500000,187,6,SCHAL,5,1.029011,2.600000,0.091634,SCHAL,
4060,9510,2592.500000,97,-99,NULL,45,0.514348,2.600000,0.046378,SCHAL,
4080,9510,2592.500000,114,8,SSF,33,0.615488,2.600000,0.045373,MXAL,
3920,9550,2592.500000,356,-99,NULL,42,0.922606,2.600000,0.055954,SAARC,
3960,9530,2577.500000,276,-99,NULL,45,1.200934,2.600000,0.097375,SCHAL,
3940,9550,2577.500000,308,-99,NULL,42,1.124946,2.600000,0.091844,SAARC,
3960,9550,2577.500000,137,-99,NULL,45,0.997985,2.600000,0.077687,SCHAL,
3940,9530,2592.500000,198,-99,NULL,45,1.077798,2.600000,0.078874,SCHAL,
3960,9530,2592.500000,105,-99,NULL,45,1.177619,2.600000,0.085057,SCHAL,
3940,9550,2592.500000,378,-99,NULL,42,0.995327,2.600000,0.069529,SAARC,
3960,9550,2592.500000,112,-99,NULL,45,0.879118,2.600000,0.064708,SCHAL,
3980,9530,2577.500000,384,-99,NULL,45,1.170105,2.600000,0.084564,SCHAL,
4000,9530,2577.500000,906,-99,NULL,45,1.004411,2.600000,0.095367,SCHAL,
3980,9550,2577.500000,109,-99,NULL,45,1.148673,2.600000,0.084763,SCHAL,
4000,9550,2577.500000,241,-99,NULL,45,1.069214,2.600000,0.098616,SCHAL,
3980,9530,2592.500000,208,-99,NULL,45,1.474389,2.600000,0.109306,SCHAL,
4000,9530,2592.500000,352,-99,NULL,45,1.259133,2.600000,0.093548,SCHAL,
3980,9550,2592.500000,176,-99,NULL,45,1.083684,2.600000,0.074519,SCHAL,
4000,9550,2592.500000,129,-99,NULL,45,1.299731,2.600000,0.093649,SCHAL,
4020,9530,2577.500000,388,-99,NULL,45,1.271560,2.600000,0.098790,SCHAL,
4040,9530,2577.500000,303,-99,NULL,45,1.024247,2.600000,0.083259,SCHAL,
4020,9550,2577.500000,300,-99,NULL,45,1.022924,2.600000,0.085684,SCHAL,
4020,9530,2592.500000,355,-99,NULL,45,1.104929,2.600000,0.075503,SCHAL,
4040,9530,2592.500000,433,-99,NULL,45,0.808530,2.600000,0.079970,SCHAL,
4020,9550,2592.500000,1231,-99,NULL,45,1.330529,2.600000,0.104592,SCHAL,
4040,9550,2592.500000,345,-99,NULL,45,0.966714,2.600000,0.065855,SCHAL,
4060,9530,2577.500000,62,-99,NULL,44,0.347002,2.600000,0.025514,SCHBL,
4060,9530,2592.500000,129,-99,NULL,45,0.575728,2.600000,0.048389,SCHAL,
4080,9530,2592.500000,80,-99,NULL,33,0.717130,2.600000,0.052023,MXAL,
4060,9550,2592.500000,68,-99,NULL,45,0.596211,2.600000,0.040350,SCHAL,
4080,9550,2592.500000,18,-99,NULL,44,0.417122,2.600000,0.024858,SCHBL,
3920,9570,2592.500000,934,-99,NULL,42,0.833761,2.600000,0.054718,SAARC,
3920,9590,2592.500000,103,-99,NULL,44,0.392545,2.600000,0.034668,SCHBL,
3940,9570,2577.500000,349,-99,NULL,42,1.001449,2.600000,0.093417,SAARC,
3960,9570,2577.500000,98,-99,NULL,45,0.837600,2.600000,0.075605,SCHAL,
3940,9590,2577.500000,253,-99,NULL,42,0.827536,2.600000,0.069632,SAARC,
3960,9590,2577.500000,232,-99,NULL,42,1.004464,2.600000,0.073394,SAARC,
3940,9570,2592.500000,297,-99,NULL,42,0.977313,2.600000,0.072992,SAARC,
3960,9570,2592.500000,111,-99,NULL,45,0.886419,2.600000,0.063927,SCHAL,
3940,9590,2592.500000,166,-99,NULL,42,0.753616,2.600000,0.044679,SAARC,
3960,9590,2592.500000,114,-99,NULL,42,0.903274,2.600000,0.052387,SAARC,
3980,9570,2577.500000,93,-99,NULL,45,1.039550,2.600000,0.076329,SCHAL,
4000,9570,2577.500000,100,-99,NULL,45,1.074281,2.600000,0.097134,SCHAL,
3980,9590,2577.500000,58,-99,NULL,45,0.471076,2.600000,0.040336,SCHAL,
4000,9590,2577.500000,90,-99,NULL,45,0.750811,2.600000,0.081290,SCHAL,
3980,9570,2592.500000,84,-99,NULL,45,0.949631,2.600000,0.079401,SCHAL,
4000,9570,2592.500000,102,-99,NULL,45,1.068325,2.600000,0.105355,SCHAL,
3980,9590,2592.500000,78,-99,NULL,45,0.508246,2.600000,0.040684,SCHAL,
4000,9590,2592.500000,178,-99,NULL,45,0.845239,2.600000,0.073045,SCHAL,
4020,9570,2577.500000,123,-99,NULL,45,1.258403,2.600000,0.134427,SCHAL,
