xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot
4140,9350,2592.500000,1.098125,8,45,dic-15,0.104375,168,
4080,9390,2592.500000,0.520000,7,42,dic-15,0.030000,17,
4100,9370,2592.500000,0.427083,7,42,dic-15,0.034167,25,
4120,9370,2592.500000,0.482708,61,42,dic-15,0.028125,86,
4100,9390,2592.500000,0.480000,61,42,dic-15,0.028750,19,
4120,9390,2592.500000,0.450000,61,42,dic-15,0.020000,85,
4140,9370,2592.500000,0.870000,8,45,dic-15,0.060000,145,
4160,9370,2592.500000,1.087500,8,45,dic-15,0.120417,183,
4140,9390,2592.500000,0.566250,61,45,dic-15,0.035000,137,
4160,9390,2592.500000,0.778750,8,45,dic-15,0.075000,157,
4060,9410,2592.500000,1.457917,8,45,dic-15,0.135417,182,
4080,9410,2592.500000,0.787292,7,45,dic-15,0.075417,17,
4060,9430,2592.500000,1.400000,8,45,dic-15,0.130000,162,
4080,9430,2592.500000,0.871667,8,45,dic-15,0.081667,19,
4100,9410,2592.500000,0.540000,61,45,dic-15,0.033125,19,
4120,9410,2592.500000,0.570000,61,45,dic-15,0.020000,99,
4100,9430,2592.500000,0.555000,7,45,dic-15,0.031667,22,
4120,9430,2592.500000,0.560000,61,45,dic-15,0.020000,63,
4140,9410,2592.500000,0.437500,61,44,dic-15,0.020000,131,
4140,9430,2592.500000,0.476250,61,45,dic-15,0.020208,128,
3980,9470,2577.500000,1.300000,8,45,oct-14,0.080000,546,
4000,9470,2577.500000,1.380000,8,45,oct-14,0.100000,560,
4000,9450,2592.500000,1.260000,8,45,sept-14,0.090000,426,
3980,9470,2592.500000,1.310000,8,45,sept-14,0.090000,796,
4000,9470,2592.500000,1.240000,8,45,sept-14,0.090000,434,
4020,9470,2577.500000,1.520000,8,45,oct-14,0.110000,288,
4020,9470,2592.500000,1.220000,8,45,dic-15,0.090000,351,
4040,9470,2592.500000,1.360000,8,45,dic-15,0.110000,250,
4060,9450,2592.500000,1.385833,8,45,dic-15,0.105000,167,
4080,9450,2592.500000,0.674583,7,45,dic-15,0.041667,28,
4060,9470,2592.500000,1.215000,8,45,dic-15,0.085000,156,
4080,9470,2592.500000,0.630000,7,45,dic-15,0.040000,32,
4100,9450,2592.500000,0.682292,7,45,dic-15,0.037083,95,
4120,9450,2592.500000,0.550000,61,42,dic-15,0.020000,44,
4100,9470,2592.500000,0.670000,7,45,dic-15,0.030000,99,
4120,9470,2592.500000,0.487500,61,45,dic-15,0.020000,42,
4140,9450,2592.500000,0.520000,61,45,dic-15,0.020000,100,
3960,9490,2592.500000,1.680000,8,45,sept-14,0.080000,423,
3960,9510,2592.500000,1.400000,8,45,sept-14,0.060000,408,
3980,9490,2577.500000,1.160000,8,45,oct-14,0.080000,383,
4000,9490,2577.500000,1.450000,8,45,oct-14,0.100000,329,
3980,9510,2577.500000,1.110000,8,45,oct-14,0.070000,544,
4000,9510,2577.500000,1.350000,8,45,oct-14,0.100000,254,
3980,9490,2592.500000,1.350000,8,45,sept-14,0.080000,583,
4000,9490,2592.500000,1.180000,8,45,dic-15,0.080000,351,
3980,9510,2592.500000,1.340000,8,45,sept-14,0.080000,427,
4000,9510,2592.500000,1.130000,8,45,sept-14,0.080000,316,
4020,9490,2577.500000,1.510000,8,45,oct-14,0.110000,309,
4040,9490,2577.500000,1.550000,8,45,oct-14,0.110000,247,
4020,9510,2577.500000,1.460000,8,45,oct-14,0.110000,267,
4040,9510,2577.500000,1.480000,8,45,oct-14,0.100000,228,
4020,9490,2592.500000,1.130000,8,45,dic-15,0.080000,315,
4040,9490,2592.500000,1.250000,8,45,dic-15,0.090000,245,
4020,9510,2592.500000,1.029792,8,45,dic-15,0.082708,237,
4040,9510,2592.500000,1.040000,8,45,sept-14,0.080000,265,
4060,9510,2577.500000,1.130000,8,45,oct-14,0.081250,148,
4060,9490,2592.500000,1.077917,8,45,sept-14,0.075833,160,
4060,9510,2592.500000,0.988125,8,45,sept-14,0.076875,111,
4080,9510,2592.500000,0.700000,7,45,sept-14,0.050000,126,
3920,9550,2592.500000,0.484375,61,45,sept-14,0.021875,94,
3960,9530,2577.500000,1.100000,8,45,oct-14,0.070000,549,
3940,9550,2577.500000,1.090417,8,45,oct-14,0.067708,315,
3960,9550,2577.500000,1.050000,8,45,oct-14,0.070000,367,
3940,9530,2592.500000,1.110000,8,45,sept-14,0.050000,247,
3960,9530,2592.500000,1.290000,8,45,sept-14,0.060000,404,
3940,9550,2592.500000,1.087500,8,45,sept-14,0.059167,150,
3960,9550,2592.500000,1.010000,8,45,sept-14,0.060000,343,
3980,9530,2577.500000,1.190000,8,45,oct-14,0.090000,517,
4000,9530,2577.500000,1.230000,8,45,oct-14,0.090000,252,
3980,9550,2577.500000,1.110000,8,45,oct-14,0.080000,490,
4000,9550,2577.500000,1.170000,8,45,oct-14,0.090000,225,
3980,9530,2592.500000,1.200000,8,45,sept-14,0.080000,442,
4000,9530,2592.500000,1.150000,8,45,sept-14,0.080000,284,
3980,9550,2592.500000,0.970000,8,45,sept-14,0.070000,417,
4000,9550,2592.500000,0.900000,8,45,sept-14,0.070000,268,
4020,9530,2577.500000,1.290000,8,45,oct-14,0.100000,262,
4040,9530,2577.500000,1.380000,8,45,oct-14,0.100000,267,
4020,9550,2577.500000,1.170000,8,45,oct-14,0.090000,247,
4020,9530,2592.500000,0.970000,8,45,sept-14,0.080000,220,
4040,9530,2592.500000,0.960000,8,45,sept-14,0.080000,177,
4020,9550,2592.500000,0.850000,8,45,sept-14,0.070000,273,
4040,9550,2592.500000,0.890000,8,45,sept-14,0.090000,135,
4060,9530,2577.500000,1.004583,8,45,oct-14,0.071250,160,
4060,9530,2592.500000,0.930000,8,45,sept-14,0.070625,123,
4080,9530,2592.500000,0.700000,7,45,sept-14,0.050000,142,
4060,9550,2592.500000,0.743750,7,45,sept-14,0.061250,206,
4080,9550,2592.500000,0.620000,7,45,sept-14,0.040000,115,
3920,9570,2592.500000,0.510000,61,45,sept-14,0.020000,98,
3920,9590,2592.500000,0.490000,61,45,sept-14,0.020000,104,
3940,9570,2577.500000,0.772500,8,45,oct-14,0.053750,174,
3960,9570,2577.500000,0.000100,8,45,oct-14,0.070000,279,
3940,9590,2577.500000,0.526458,62,42,oct-14,0.033333,161,
3960,9590,2577.500000,0.957500,8,45,oct-14,0.065833,256,
3940,9570,2592.500000,0.843333,8,45,sept-14,0.046667,115,
3960,9570,2592.500000,1.020000,8,45,sept-14,0.060000,319,
3940,9590,2592.500000,0.615833,61,45,sept-14,0.030833,106,
3960,9590,2592.500000,0.970000,8,42,sept-14,0.060000,231,
3980,9570,2577.500000,0.890000,8,45,oct-14,0.060000,366,
4000,9570,2577.500000,0.980000,8,45,oct-14,0.080000,243,
3980,9590,2577.500000,1.040000,8,45,oct-14,0.070000,337,
4000,9590,2577.500000,0.831875,8,45,oct-14,0.060208,175,
3980,9570,2592.500000,0.000100,8,45,sept-14,0.050000,299,
4000,9570,2592.500000,0.870000,8,45,sept-14,0.080000,301,
3980,9590,2592.500000,0.950000,8,45,sept-14,0.070000,266,
4000,9590,2592.500000,1.021458,8,45,sept-14,0.069375,275,
4020,9570,2577.500000,0.987500,8,45,oct-14,0.083750,325,
4020,9570,2592.500000,0.660000,8,45,sept-14,0.060000,310,
4040,9570,2592.500000,0.690833,8,45,sept-14,0.060417,170,
4020,9590,2592.500000,0.730000,7,45,sept-14,0.058750,276,
4040,9590,2592.500000,0.565625,7,45,sept-14,0.031875,167,
4060,9570,2592.500000,0.530000,61,45,sept-14,0.032500,210,
4080,9570,2592.500000,0.456250,61,45,sept-14,0.022500,110,
4060,9590,2592.500000,0.430000,61,44,sept-14,0.020000,214,
3940,9610,2577.500000,0.461667,62,42,oct-14,0.029167,146,
3960,9610,2577.500000,0.649583,61,42,oct-14,0.033542,247,
3960,9630,2577.500000,0.592500,61,42,oct-14,0.024167,347,
3940,9610,2592.500000,0.501667,62,42,sept-14,0.027500,95,
3960,9610,2592.500000,0.900625,8,42,sept-14,0.052917,214,
3960,9630,2592.500000,0.570625,7,45,sept-14,0.030208,198,
3980,9610,2577.500000,0.711667,7,45,oct-14,0.036667,281,
4000,9610,2577.500000,0.714375,7,45,oct-14,0.040833,144,
3980,9630,2577.500000,0.613333,7,45,oct-14,0.028333,262,
4000,9630,2577.500000,0.649375,7,45,oct-14,0.039583,130,
3980,9610,2592.500000,0.840417,8,45,sept-14,0.051667,227,
4000,9610,2592.500000,0.730000,7,45,sept-14,0.055000,256,
3980,9630,2592.500000,0.730000,7,45,sept-14,0.030000,196,
4000,9630,2592.500000,0.700000,7,45,sept-14,0.040000,218,
4020,9610,2592.500000,0.580000,7,45,sept-14,0.030000,251,
4040,9610,2592.500000,0.550000,7,45,sept-14,0.035000,149,
3960,9650,2592.500000,0.622708,62,45,sept-14,0.035417,148,
3980,9650,2577.500000,0.614167,61,45,oct-14,0.029583,202,
3980,9650,2592.500000,0.730000,7,45,sept-14,0.040000,191,
4000,9650,2592.500000,0.620833,7,45,sept-14,0.035417,203,
3980,9670,2592.500000,0.570833,7,45,sept-14,0.038333,164,
4060,9350,2622.500000,0.380000,7,44,dic-15,0.030000,150,
4080,9350,2622.500000,0.350000,7,44,nov-15,0.020000,102,
4100,9350,2607.500000,0.440000,7,42,dic-15,0.040000,25,
4120,9350,2607.500000,0.503125,7,45,dic-15,0.045625,144,
4100,9330,2622.500000,0.340000,7,44,dic-15,0.030000,25,
4120,9330,2622.500000,0.462500,7,45,nov-15,0.036667,33,
4100,9350,2622.500000,0.260000,7,41,nov-15,0.020000,25,
4120,9350,2622.500000,0.513750,7,45,nov-15,0.047500,105,
4160,9330,2607.500000,0.390000,61,44,dic-15,0.016250,166,
4140,9350,2607.500000,0.620000,8,45,dic-15,0.050000,117,
4160,9350,2607.500000,0.895625,8,45,dic-15,0.093125,153,
4140,9330,2622.500000,0.650417,8,45,nov-15,0.049167,132,
4160,9330,2622.500000,0.579375,61,45,nov-15,0.048125,161,
4140,9350,2622.500000,0.790000,8,45,nov-15,0.060000,129,
4160,9350,2622.500000,1.040000,8,45,nov-15,0.110000,136,
4180,9330,2607.500000,0.360000,61,44,dic-15,0.020000,204,
4180,9350,2607.500000,0.426875,61,44,dic-15,0.034167,180,
4180,9330,2622.500000,0.340000,61,44,dic-15,0.010000,195,
4200,9330,2622.500000,0.419167,61,44,dic-15,0.025833,25,
4180,9350,2622.500000,0.721875,61,45,nov-15,0.068750,189,
4200,9350,2622.500000,0.764583,8,42,dic-15,0.047083,21,
4040,9390,2622.500000,1.260000,8,45,nov-15,0.140000,316,
4080,9370,2607.500000,0.460000,7,42,dic-15,0.030000,22,
4060,9390,2607.500000,0.925000,8,45,dic-15,0.088333,131,
4080,9390,2607.500000,0.590000,7,45,dic-15,0.040000,18,
4060,9370,2622.500000,0.515000,7,45,nov-15,0.035000,155,
4080,9370,2622.500000,0.450000,7,45,nov-15,0.030000,126,
4060,9390,2622.500000,0.917500,8,45,nov-15,0.086667,153,
4080,9390,2622.500000,0.530000,7,45,nov-15,0.030000,19,
4100,9370,2607.500000,0.340000,7,42,dic-15,0.020000,23,
4120,9370,2607.500000,0.491667,61,42,dic-15,0.035833,127,
4100,9390,2607.500000,0.513125,7,42,dic-15,0.028125,22,
4120,9390,2607.500000,0.426458,61,44,dic-15,0.020000,95,
4100,9370,2622.500000,0.490000,7,42,nov-15,0.030000,25,
4120,9370,2622.500000,0.571458,7,42,nov-15,0.047917,117,
4100,9390,2622.500000,0.494167,7,42,nov-15,0.038750,20,
4120,9390,2622.500000,0.433750,61,42,nov-15,0.027292,105,
4140,9370,2607.500000,0.620000,8,45,dic-15,0.050000,123,
4160,9370,2607.500000,1.290833,8,43,dic-15,0.169167,139,
4140,9390,2607.500000,0.465833,5,45,dic-15,0.039583,73,
4160,9390,2607.500000,1.052083,8,43,dic-15,0.147917,123,
4140,9370,2622.500000,0.820000,8,42,nov-15,0.060000,127,
4160,9370,2622.500000,1.376250,8,45,nov-15,0.149375,134,
4140,9390,2622.500000,0.565000,5,42,nov-15,0.045000,104,
4160,9390,2622.500000,1.130833,8,45,nov-15,0.127500,103,
4180,9370,2607.500000,0.628125,61,43,dic-15,0.110625,205,
4180,9390,2607.500000,0.510208,61,45,dic-15,0.057917,28,
4180,9370,2622.500000,1.065625,2,33,nov-15,0.230417,10,
4200,9370,2622.500000,1.076250,8,42,dic-15,0.098750,21,
4180,9390,2622.500000,0.899792,2,33,nov-15,0.186458,10,
4000,9410,2622.500000,1.360000,8,45,jun-14,0.120000,316,
3980,9430,2622.500000,1.150000,8,45,jun-14,0.110000,674,
4000,9430,2622.500000,1.430000,8,45,jun-14,0.120000,345,
4040,9430,2607.500000,1.460000,8,45,dic-15,0.150000,316,
4040,9410,2622.500000,1.440000,8,45,nov-15,0.140000,347,
4020,9430,2622.500000,1.370000,8,45,jun-14,0.110000,347,
4040,9430,2622.500000,1.570000,8,45,nov-15,0.130000,359,
4060,9410,2607.500000,1.400000,8,45,dic-15,0.140000,128,
4080,9410,2607.500000,0.830000,8,45,dic-15,0.088750,17,
4060,9430,2607.500000,1.260000,8,42,dic-15,0.120000,138,
4080,9430,2607.500000,0.906250,8,45,dic-15,0.088333,19,
4060,9410,2622.500000,1.230000,8,43,nov-15,0.160000,144,
4080,9410,2622.500000,0.701875,8,45,nov-15,0.068125,19,
