xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4140,9350,2592.5,0.030917,6,,45,0.513607,2.6,0.029011,SCHAL
4080,9390,2592.5,0.009824,8,SSF,45,0.527897,2.6,0.046179,SCHAL
4100,9370,2592.5,0.008151,6,,44,0.302679,2.6,0.019605,SCHBL
4120,9370,2592.5,0.01277,6,,44,0.427453,2.6,0.02971,SCHBL
4100,9390,2592.5,0.011747,6,,44,0.319234,2.6,0.026187,SCHBL
4120,9390,2592.5,0.007216,6,,44,0.36477,2.6,0.037347,SCHBL
4140,9370,2592.5,0.013685,6,,45,0.459638,2.6,0.031076,SCHAL
4160,9370,2592.5,0.051645,8,SSF,43,1.001615,2.6,0.145528,SASOL
4140,9390,2592.5,0.004511,6,,44,0.428427,2.6,0.024714,SCHBL
4160,9390,2592.5,0.019379,8,SSF,45,1.01918,2.6,0.11276,SCHAL
4060,9410,2592.5,0.018176,8,SSF,45,1.084346,2.6,0.089092,SCHAL
4080,9410,2592.5,0.01651,8,SSF,45,0.554033,2.6,0.050583,SCHAL
4060,9430,2592.5,0.011091,8,SSF,45,0.857659,2.6,0.073889,SCHAL
4080,9430,2592.5,0.025122,8,SSF,45,0.763212,2.6,0.069705,SCHAL
4100,9410,2592.5,0.023756,7,SSD,41,0.28681,2.6,0.032741,SBL
4120,9410,2592.5,0.015692,6,,43,0.450416,2.6,0.077519,SASOL
4100,9430,2592.5,0.023809,8,SSF,43,0.63416,2.6,0.086419,SASOL
4120,9430,2592.5,0.008486,8,SSF,43,0.465967,2.6,0.060741,SASOL
4140,9410,2592.5,0.008442,6,,44,0.400368,2.6,0.028696,SCHBL
4140,9430,2592.5,0.010175,7,SSD,44,0.425146,2.6,0.02966,SCHBL
3980,9470,2577.5,0.037097,-99,NULL,45,0.961612,2.6,0.09606,SCHAL
4000,9470,2577.5,0.030536,-99,NULL,45,0.779548,2.6,0.083062,SCHAL
4000,9450,2592.5,0.032579,-99,NULL,45,1.331828,2.6,0.155986,SCHAL
3980,9470,2592.5,0.035719,-99,NULL,45,1.106725,2.6,0.10382,SCHAL
4000,9470,2592.5,0.028763,-99,NULL,45,0.719351,2.6,0.081989,SCHAL
4020,9470,2577.5,0.045664,-99,NULL,45,1.285506,2.6,0.110087,SCHAL
4020,9470,2592.5,0.035585,-99,NULL,45,1.021189,2.6,0.105126,SCHAL
4040,9470,2592.5,0.017125,8,SSF,45,1.131065,2.6,0.084809,SCHAL
